Date;Open;High;Low;Close
2002-06-27;95,1;95,15;95,1;95,15
2002-06-28;95,15;95,15;95,15;95,15
2002-07-01;95,15;95,15;95,15;95,15
2002-07-02;94,44;94,44;93,25;93,26
2002-07-03;92,51;92,51;91,95;92,25
2002-07-05;93,4;93,8;93,4;93,8
2002-07-08;95,29;95,29;94,67;94,67
2002-07-09;93,7;93,7;93,7;93,7
2002-07-10;92,58;92,58;92,58;92,58
2002-07-11;88,88;88,88;88,88;88,88
2002-07-12;88,88;88,88;88,88;88,88
2002-07-15;88,88;88,88;88,88;88,88
2002-07-16;84,46;85,05;84,46;85,05
2002-07-17;86,3;86,3;85,05;85,05
2002-07-18;85,68;85,68;85,35;85,35
2002-07-19;83,85;83,85;80,6;80,6
2002-07-22;75,85;77,1;75,82;77,1
2002-07-23;75,6;75,6;73,6;73,6
2002-07-24;72,2;77,2;72,1;77,2
2002-07-25;77,8;78,35;77,69;77,69
2002-07-26;77,05;77,15;76,95;77,05
2002-07-29;82,15;82,15;82,15;82,15
2002-07-30;82,15;82,62;81,98;81,98
2002-07-31;81,65;82,7;81,65;82,7
2002-08-01;80,8;80,8;80,8;80,8
2002-08-02;80,8;80,8;80,8;80,8
2002-08-05;77,25;77,25;77,25;77,25
2002-08-06;79,2;79,2;79,1;79,1
2002-08-07;78,2;78,2;78,2;78,2
2002-08-08;78,2;78,2;78,2;78,2
2002-08-09;82;83,4;82;83,4
2002-08-12;82,65;83,73;82,65;83,73
2002-08-13;83,15;83,47;82,56;82,56
2002-08-14;82,76;83,93;81,84;83,93
2002-08-15;85,2;86,21;84,97;86,15
2002-08-16;85,3;85,45;84,65;84,65
2002-08-19;85,35;85,35;85,35;85,35
2002-08-20;84,5;84,5;84,25;84,26
2002-08-21;84,16;85,42;84,16;85,42
2002-08-22;86,5;86,5;86,5;86,5
2002-08-23;86,3;86,3;85,56;85,73
2002-08-26;85,85;87,15;85,85;87,08
2002-08-27;87,6;87,6;86,5;86,52
2002-08-28;85,67;85,67;85,35;85,35
2002-08-29;83,85;83,94;83,85;83,9
2002-08-30;83,9;84,64;83,9;84,5
2002-09-03;81,35;81,65;81,3;81,3
2002-09-04;81,2;81,4;81,2;81,34
2002-09-05;80,72;80,83;80,39;80,4
2002-09-06;82,35;82,35;81,98;81,99
2002-09-09;81,5;82,54;81,35;82,54
2002-09-10;83,29;83,3;83,05;83,3
2002-09-11;83,26;83,26;83,06;83,06
2002-09-12;82,65;82,65;81,74;81,85
2002-09-13;81,49;82;81,21;81,99
2002-09-16;81,5;81,75;81,1;81,56
2002-09-17;80,9;80,9;79,19;79,19
2002-09-18;79,1;79,41;78,32;79,2
2002-09-19;77,95;78,22;77,81;78
2002-09-20;77,5;77,79;77,25;77,57
2002-09-23;77,01;77,01;76,4;76,4
2002-09-24;75,55;75,55;74,69;74,69
2002-09-25;75,24;76,3;75,24;76,3
2002-09-26;77,31;78,5;77,3;78,45
2002-09-27;78,79;79,08;76,85;76,85
2002-09-30;75,09;75,41;75,09;75,41
2002-10-01;77,29;78,84;77,29;78,84
2002-10-02;78,01;78,03;77,16;77,16
2002-10-03;77,5;77,64;77,19;77,37
2002-10-04;76,25;76,25;76,01;76,01
2002-10-07;74,52;74,52;74,52;74,52
2002-10-08;74,81;74,81;72,85;73,93
2002-10-09;73,2;73,2;71,57;71,58
2002-10-10;71,7;73,65;71,1;73,6
2002-10-11;74,51;75,55;74,51;75,4
2002-10-14;76,15;76,15;75,91;76,08
2002-10-15;78,45;79,09;78,45;79
2002-10-16;78,5;78,5;77,95;78,15
2002-10-17;79,49;80,25;79,49;80,25
2002-10-18;79,4;80,2;79,4;80,2
2002-10-21;79,6;80,7;79,42;80,53
2002-10-22;78,43;78,53;78,43;78,44
2002-10-23;78,25;79,57;78;79,4
2002-10-24;79,66;79,66;78,3;78,32
2002-10-25;77,95;78,2;77,95;78,12
2002-10-28;78,3;79,17;77,9;78
2002-10-29;75,98;75,98;75,98;75,98
2002-10-30;77,97;78,14;77,9;78
2002-10-31;78,31;78,58;77,4;77,68
2002-11-01;79,39;79,4;79,35;79,35
2002-11-04;79,35;79,35;79,35;79,35
2002-11-05;79,65;79,65;79,3;79,3
2002-11-06;79,5;80,58;79,38;80,58
2002-11-07;79,7;79,7;78,92;78,92
2002-11-08;79,34;79,35;78,95;78,95
2002-11-11;78,5;78,5;77,58;77,58
2002-11-12;77,55;78,14;77,5;77,55
2002-11-13;76,93;77,4;75,62;75,62
2002-11-14;77,3;78,23;77,3;78,23
2002-11-15;77,95;78,15;77,95;78,15
2002-11-18;79,25;79,25;78,8;78,8
