Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-07-03;67,20;67,22;68,00;68,22;66,96;67,20;67,396;6705217;451913683,22;6027;
2018-07-02;67,48;67,54;68,38;68,62;67,50;67,78;67,891;6471636;439369616,63;5842;
2018-06-29;69,42;69,46;68,04;69,52;67,96;69,26;69,009;11725862;809177394,28;7434;
2018-06-28;66,76;66,80;67,90;68,46;66,52;66,80;67,063;7389333;495593056,95;5778;
2018-06-27;67,72;67,76;67,20;68,00;66,32;67,80;67,506;6949017;469076243,18;6345;
2018-06-26;67,14;67,18;67,56;68,02;67,12;67,16;67,408;7005789;472281937,84;6249;
2018-06-25;67,68;67,72;69,06;69,06;67,56;67,56;68,063;8709109;592776388,24;7921;
2018-06-21;68,60;68,64;70,72;70,98;68,36;68,60;69,401;8230577;571275099,48;8047;
2018-06-20;70,54;70,60;70,00;71,20;69,98;70,50;70,533;10571645;745642795,67;10368;
2018-06-19;69,88;69,94;67,94;69,98;67,66;69,96;69,279;14558442;1007312140,14;10835;
2018-06-18;67,80;67,86;67,80;68,44;67,36;68,00;67,828;8786083;595390839,49;7915;
2018-06-15;68,18;68,22;68,08;68,94;67,82;68,06;68,215;12100120;825421691,02;8569;
2018-06-14;68,06;68,08;66,40;68,28;65,76;68,18;67,506;12465609;840949108,46;8485;
2018-06-13;66,60;66,66;64,28;66,68;64,14;66,64;65,907;11405788;751680273,34;8017;
2018-06-12;63,68;63,74;63,00;63,80;63,00;63,64;63,483;8249670;523705748,82;6637;
2018-06-11;63,12;63,16;63,40;63,50;62,60;63,20;63,039;5970521;376243794,93;4794;
2018-06-08;63,44;63,48;63,18;63,94;63,02;63,42;63,466;6306630;400204329,52;5416;
2018-06-07;63,58;63,60;65,06;65,08;63,24;63,50;63,663;8407654;535224683,89;7544;
2018-06-05;64,30;64,32;64,06;64,68;63,66;64,16;64,181;6270530;402795228,55;3932;
2018-06-04;63,98;64,00;64,34;64,56;63,84;64,08;64,10;5569464;356994561,3;4655;
2018-06-01;64,06;64,10;64,08;64,34;63,60;64,18;64,107;6014380;385562978,63;4795;
2018-05-31;63,86;63,92;64,60;64,86;63,48;63,96;64,11;14473913;927940603,86;7027;
2018-05-30;64,26;64,30;64,92;65,10;64,18;64,20;64,436;5476874;352913556,34;5550;
2018-05-29;64,78;64,80;64,38;64,94;63,62;64,84;64,462;7167858;462055129,76;6416;
2018-05-28;64,90;64,94;65,50;65,80;64,54;64,80;65,01;2891051;187946243,16;3031;
2018-05-25;65,24;65,28;65,68;66,28;65,12;65,26;65,50;4108339;269095088,15;4121;
2018-05-24;65,54;65,60;65,78;66,48;65,36;65,52;65,80;6601036;434378174,39;5143;
2018-05-23;65,20;65,24;66,16;66,24;64,82;65,28;65,315;7693796;502516321,45;6536;
2018-05-22;66,36;66,40;67,90;67,98;66,06;66,44;66,529;7134888;473126695,33;5967;
2018-05-21;67,60;67,64;67,78;68,24;67,50;67,64;67,784;4075761;275468581,54;3333;
2018-05-18;67,46;67,50;67,52;68,10;67,46;67,66;67,711;7393451;500617767,68;6595;
2018-05-17;67,30;67,32;67,00;67,44;66,74;67,40;67,149;4790130;321649664,85;4474;
2018-05-16;66,70;66,72;67,24;67,96;66,62;66,80;66,939;7417753;496576166,33;6021;
2018-05-15;67,24;67,26;67,06;67,86;66,56;67,28;67,224;8530861;573478882,7;6699;
2018-05-14;67,36;67,40;67,70;68,08;66,50;67,50;67,295;12075856;812622608,56;8711;
2018-05-11;68,32;68,38;68,70;69,82;67,60;68,28;68,438;15114297;1034379387,2;13007;
2018-05-09;70,20;70,26;69,42;71,18;69,40;70,40;70,295;7723072;542904392,89;5449;
2018-05-08;69,40;69,44;69,48;69,82;68,84;69,52;69,431;9473708;657764424,15;8064;
2018-05-07;69,66;69,72;68,10;69,96;68,08;69,56;69,549;9109713;633574960,16;7269;
2018-05-04;68,04;68,06;66,34;68,14;66,34;68,14;67,714;9799288;663548737,85;7584;
2018-05-03;66,12;66,14;66,70;67,12;65,90;66,08;66,385;8114890;538703248,52;6618;
2018-05-02;66,66;66,70;67,00;67,80;66,26;66,72;67,046;11217672;752085984,03;9791;
2018-04-30;66,84;66,88;65,50;67,54;65,34;67,20;66,774;7969338;532123355,26;5308;
2018-04-27;65,60;65,64;65,78;66,44;65,54;65,70;65,892;12119101;798561284,74;10613;
2018-04-26;65,62;65,66;66,00;66,50;65,54;65,76;65,914;15568138;1026173706,12;12660;
2018-04-25;66,86;66,90;65,88;67,48;65,84;66,82;66,653;21706742;1446795453,9;16909;
2018-04-24;65,64;65,68;65,18;66,18;64,76;65,76;65,645;16836772;1105259784,44;14227;
2018-04-23;65,18;65,22;65,00;65,54;64,34;65,00;64,979;21421974;1388679974,88;15681;
2018-04-20;65,44;65,48;63,50;67,00;62,16;65,28;64,801;60610027;3927893183,89;53055;
2018-04-19;55,46;55,50;53,50;55,72;53,42;55,56;55,098;13664442;751902886,97;9650;
2018-04-18;54,08;54,10;54,60;54,82;53,94;54,18;54,259;4048304;219655018,2;2297;
2018-04-17;54,90;54,96;53,60;55,10;53,04;54,82;54,173;11046844;598420868,65;8932;
2018-04-16;53,26;53,28;53,00;53,98;52,98;53,38;53,492;8445092;451741124,36;8539;
2018-04-13;52,98;53,02;53,86;53,90;52,76;53,00;53,054;7113723;377410960,14;6001;
2018-04-12;53,58;53,62;53,06;53,72;52,30;53,56;53,205;5570206;296353297,76;5053;
2018-04-11;52,90;52,92;53,30;53,46;51,86;52,88;52,726;7167251;377896009,46;5631;
2018-04-10;53,08;53,12;52,80;53,14;52,62;53,14;52,979;4833141;256055957,61;3452;
2018-04-09;52,56;52,60;52,92;53,22;52,24;52,64;52,658;5236622;275751813,38;4427;
2018-04-06;52,78;52,82;52,64;53,28;52,54;52,82;52,877;7294517;385711515,55;5680;
2018-04-05;53,14;53,18;52,26;53,18;52,14;53,12;52,813;7804986;412201578,96;5301;
2018-04-04;51,56;51,58;52,04;52,20;50,82;51,52;51,324;9152270;469732766,46;7865;
2018-04-03;52,16;52,20;52,34;52,36;51,24;52,14;51,90;10457602;542753269,17;8109;
2018-03-29;52,74;52,78;53,16;53,28;52,26;52,92;52,776;5623962;296809224,5;4149;
2018-03-28;53,78;53,82;52,84;53,96;52,08;53,96;53,36;9079950;484505345,61;6898;
2018-03-27;53,68;53,70;53,44;54,32;53,30;53,70;53,759;7903730;424897601,69;6459;
2018-03-26;52,22;52,26;53,74;53,96;52,00;52,38;52,925;9503964;502998872,6;6530;
2018-03-23;53,84;53,86;53,22;54,26;53,06;53,94;53,727;7171399;385304538,06;5439;
2018-03-22;53,62;53,64;54,48;54,48;53,22;53,72;53,684;8385212;450136358,85;6022;
2018-03-21;54,84;54,88;54,42;54,88;53,62;54,82;54,331;5995545;325740690,96;4050;
2018-03-20;54,36;54,40;54,96;55,04;54,12;54,36;54,41;6303027;342948969,85;4785;
2018-03-19;54,70;54,74;55,58;55,60;54,64;54,80;54,883;13047506;719170426,35;6697;
2018-03-16;55,84;55,88;56,28;56,66;55,78;55,78;55,949;12242969;685219556,63;7082;
2018-03-15;56,08;56,12;55,94;56,36;55,64;56,26;56,146;11360845;637859877,81;7116;
2018-03-14;55,94;55,98;56,10;56,76;55,84;55,92;56,171;8060240;452756360,47;5810;
2018-03-13;56,16;56,20;56,70;57,04;55,96;56,10;56,492;7856161;443811281,91;5971;
2018-03-12;56,64;56,68;56,70;56,80;55,90;56,74;56,429;8933784;503966391,45;6543;
2018-03-09;56,94;56,96;56,42;56,98;56,06;56,94;56,596;5725129;324019797,67;4146;
2018-03-08;56,60;56,64;55,68;56,66;55,58;56,62;56,414;8329116;469901492,85;6210;
2018-03-07;55,46;55,48;55,50;55,78;54,82;55,52;55,246;11106213;613576014,66;8124;
2018-03-06;55,74;55,78;56,00;56,70;55,64;55,76;56,089;8525500;478187581,1;6800;
2018-03-05;55,64;55,68;53,60;55,68;53,46;55,56;54,941;9170641;503812712,34;6970;
2018-03-02;53,76;53,80;53,74;54,48;53,28;53,78;53,929;10456315;563899348,78;7380;
2018-03-01;54,28;54,30;55,12;55,26;54,22;54,24;54,52;9932811;541538874,99;7217;
2018-02-28;55,70;55,74;56,32;56,66;55,66;55,76;56,023;10319362;578120357;6694;
2018-02-27;56,68;56,72;57,14;57,80;56,38;56,68;56,974;7722594;439988435,54;6980;
2018-02-26;56,74;56,80;56,72;58,20;56,38;56,64;57,107;10469122;597864667,67;8717;
2018-02-23;55,98;56,02;54,78;56,16;54,52;55,94;55,633;8763981;487561853,61;6962;
2018-02-22;54,60;54,62;54,30;54,96;54,04;54,60;54,431;9655970;525564800,58;7312;
2018-02-21;54,76;54,78;54,60;54,98;54,00;54,82;54,581;5517974;301030569,97;4115;
2018-02-20;54,62;54,66;53,32;54,82;53,32;54,74;54,419;5673697;308757377,96;5043;
2018-02-19;53,48;53,52;54,14;54,34;53,18;53,48;53,755;4605181;247890396,9;3762;
2018-02-16;54,12;54,16;54,00;54,28;53,64;54,08;53,985;6134321;331174022,42;3701;
2018-02-15;53,60;53,64;53,28;53,76;53,06;53,74;53,528;7299098;390706265,95;4634;
2018-02-14;52,96;53,00;52,80;53,20;52,08;53,06;52,873;8445009;446508274,14;5980;
2018-02-13;52,94;52,98;52,88;53,48;52,16;52,82;52,831;10018271;529274617,44;6568;
2018-02-12;52,56;52,60;52,28;53,02;52,28;52,50;52,638;9414234;495517364,96;7154;
2018-02-09;51,78;51,80;51,00;53,12;51,00;51,78;52,07;13400013;697693592,09;9138;
2018-02-08;51,52;51,54;52,10;52,60;51,52;51,56;51,90;11378053;590516360,6;7548;
2018-02-07;52,30;52,34;51,00;52,64;50,62;52,42;51,848;13680953;709230418,71;9047;
2018-02-06;50,06;50,10;49,97;50,84;49,04;50,14;49,937;22854634;1141249739,85;18631;
2018-02-05;51,58;51,60;52,60;52,60;51,08;51,60;51,651;16117458;832467642,65;11988;
2018-02-02;53,76;53,80;52,08;53,88;51,90;53,80;53,124;13828868;734641399,62;9501;
2018-02-01;52,06;52,08;51,06;52,70;50,94;52,14;51,987;17838118;927339458,29;14850;
2018-01-31;50,64;50,66;52,36;53,00;50,38;50,60;51,209;51462893;2635241791,01;39165;
2018-01-30;55,50;55,56;56,00;56,68;55,48;55,70;55,925;11931016;667246305,61;9988;
2018-01-29;55,02;55,08;54,24;55,42;54,08;54,98;54,95;9940166;546059133,74;6599;
2018-01-26;54,10;54,14;54,56;54,64;53,74;54,04;54,105;7617631;412158984,96;7034;
2018-01-25;54,58;54,62;56,18;56,28;54,46;54,60;55,137;11287996;622396602,57;9008;
2018-01-24;56,54;56,58;57,06;57,22;56,20;56,48;56,641;7893628;447105665,96;6320;
2018-01-23;57,10;57,14;57,74;57,88;56,72;57,08;57,114;10077739;575580090,74;8820;
2018-01-22;57,36;57,38;58,48;58,48;57,10;57,28;57,538;9856070;566610033,32;6825;
2018-01-19;58,44;58,48;58,50;59,02;58,22;58,56;58,59;8993270;526916140,07;7225;
2018-01-18;58,54;58,58;58,22;59,22;57,80;58,50;58,623;14490414;849540259,73;10760;
2018-01-17;57,68;57,70;55,90;58,40;55,80;57,82;57,433;15557127;892922859,08;10824;
2018-01-16;55,96;56,00;55,90;56,64;55,56;56,00;56,053;8684995;486822646,55;6452;
2018-01-15;56,28;56,32;56,40;56,86;56,18;56,36;56,445;4496497;253798290,13;3256;
2018-01-12;56,44;56,46;56,04;56,70;55,06;56,48;55,972;11826047;661802175,92;8187;
2018-01-11;55,94;55,96;55,40;56,00;55,12;55,88;55,616;8253747;458928394,78;5647;
2018-01-10;55,30;55,34;55,90;56,00;54,78;55,30;55,253;9031509;499019921,82;6188;
2018-01-09;56,02;56,06;55,72;56,28;55,60;56,02;55,959;7413264;414838230,25;5540;
2018-01-08;55,52;55,56;55,46;55,80;55,08;55,50;55,424;9013865;499562741;6081;
2018-01-05;55,48;55,52;54,98;55,62;54,86;55,46;55,232;6175589;341134487,62;3553;
2018-01-04;54,86;54,92;55,00;55,06;54,30;54,80;54,687;9498331;519439044,22;6624;
2018-01-03;54,52;54,58;54,42;54,82;54,04;54,60;54,52;6994043;381314875,21;4601;
2018-01-02;54,18;54,24;54,20;54,86;54,10;54,30;54,426;8981663;488819697,35;5902;
